ALIAS	ACCESSION	RUN
nonclassical11	SRS1658418	SRR4098783
classical17	SRS1658417	SRR4098782
classical11	SRS1658416	SRR4098781
classical12	SRS1636112	SRR4053825
classical10	SRS1636111	SRR4053824
classical09	SRS1636110	SRR4053823
classical08	SRS1636108	SRR4053822
classical07	SRS1636109	SRR4053821
classical05	SRS1636107	SRR4053820
nonclassical18	SRS1636106	SRR4053819
classical04	SRS1636105	SRR4053818
nonclassical17	SRS1636104	SRR4053817
nonclassical16	SRS1636103	SRR4053816
nonclassical14	SRS1636102	SRR4053815
nonclassical13	SRS1636101	SRR4053814
nonclassical12	SRS1636100	SRR4053813
nonclassical10	SRS1636099	SRR4053812
nonclassical09	SRS1636098	SRR4053811
nonclassical08	SRS1636097	SRR4053810
nonclassical07	SRS1636096	SRR4053809
nonclassical06	SRS1636095	SRR4053808
classical03	SRS1636094	SRR4053807
nonclassical05	SRS1636093	SRR4053806
nonclassical04	SRS1636092	SRR4053805
nonclassical03	SRS1636091	SRR4053804
nonclassical02	SRS1636090	SRR4053803
nonclassical01	SRS1636089	SRR4053802
classical18	SRS1636088	SRR4053801
classical16	SRS1636087	SRR4053800
classical15	SRS1636086	SRR4053799
classical14	SRS1636085	SRR4053798
classical13	SRS1636084	SRR4053797
classical02	SRS1636083	SRR4053796
classical01	SRS1636082	SRR4053795
