Reference	Genes in Ref	Genes	Common	Recall	Precision
SAM-Frank	5796	1637	910	0.1583710407239819	0.5558949297495418
SAM-Haniffa	1586	1637	346	0.22526041666666666	0.21136224801466097
SAM-Ingersoll	4795	1637	810	0.17070600632244468	0.49480757483200977
SAM-Wong	2929	1637	451	0.15665161514414727	0.27550397067806964
limma-Frank	3931	1637	818	0.2107704199948467	0.49969456322541234
limma-Haniffa	1920	1637	437	0.23368983957219253	0.26695174098961516
limma-Ingersoll	4202	1637	839	0.20207129094412332	0.5125229077580941
limma-Wong	3454	1637	600	0.1762632197414806	0.3665241295051924
int-Frank	2803	1637	515	0.18706865237922266	0.31459987782529014
int-Haniffa	1178	1637	296	0.2624113475177305	0.18081857055589493
int-Ingersoll	2776	1637	505	0.18525311812179016	0.30849114233353697
int-Wong	1998	1637	404	0.20739219712525667	0.24679291386682956
