Reference	Genes in Ref	Genes	Common	Recall	Precision
SAM-Frank	5796	954	469	0.08162199791159067	0.4916142557651992
SAM-Haniffa	1586	954	164	0.10677083333333333	0.1719077568134172
SAM-Ingersoll	4795	954	408	0.08598524762908324	0.4276729559748428
SAM-Wong	2929	954	244	0.08475164987843001	0.2557651991614256
limma-Frank	3931	954	397	0.10229322339603195	0.4161425576519916
limma-Haniffa	1920	954	221	0.11818181818181818	0.23165618448637318
limma-Ingersoll	4202	954	419	0.10091522157996147	0.4392033542976939
limma-Wong	3454	954	343	0.10076380728554642	0.35953878406708595
int-Frank	2803	954	263	0.0955321467490011	0.27568134171907754
int-Haniffa	1178	954	140	0.12411347517730496	0.14675052410901468
int-Ingersoll	2776	954	264	0.09684519442406456	0.27672955974842767
int-Wong	1998	954	218	0.11190965092402463	0.22851153039832284
