Reference	Genes in Ref	Genes	Common	Recall	Precision
SAM-Frank	5796	733	314	0.05464671075530804	0.42837653478854026
SAM-Haniffa	1586	733	118	0.07682291666666667	0.16098226466575716
SAM-Ingersoll	4795	733	279	0.05879873551106428	0.3806275579809004
SAM-Wong	2929	733	176	0.0611323376172282	0.24010914051841747
limma-Frank	3931	733	265	0.06828137078072662	0.3615279672578445
limma-Haniffa	1920	733	171	0.09144385026737968	0.23328785811732605
limma-Ingersoll	4202	733	290	0.06984585741811175	0.3956343792633015
limma-Wong	3454	733	252	0.07403055229142186	0.34379263301500684
int-Frank	2803	733	174	0.06320377769705776	0.2373806275579809
int-Haniffa	1178	733	102	0.09042553191489362	0.13915416098226466
int-Ingersoll	2776	733	181	0.06639765223771094	0.24693042291950887
int-Wong	1998	733	157	0.08059548254620123	0.21418826739427013
