Reference	Union	Interception	EdgeR	Deseq	SAMseq	MWU
SAM-Frank	0.4410024364775496	0.08162199791159067	0.1583710407239819	0.14775495997215454	0.36303515489035854	0.05464671075530804
SAM-Haniffa	0.53515625	0.10677083333333333	0.22526041666666666	0.22721354166666666	0.4583333333333333	0.07682291666666667
SAM-Ingersoll	0.4516332982086407	0.08598524762908324	0.17070600632244468	0.16164383561643836	0.3763962065331928	0.05879873551106427
SAM-Wong	0.4202848211184439	0.08475164987843001	0.15665161514414727	0.15144147273358805	0.3522056269538034	0.0611323376172282
limma-Frank	0.5333676887400155	0.10229322339603195	0.2107704199948467	0.19866013913939706	0.4485957227518681	0.06828137078072663
limma-Haniffa	0.5909090909090909	0.11818181818181818	0.2336898395721925	0.23101604278074864	0.4978609625668449	0.09144385026737968
limma-Ingersoll	0.5332369942196532	0.10091522157996147	0.20207129094412327	0.19195568400770716	0.4458092485549133	0.06984585741811175
limma-Wong	0.5387779083431258	0.10076380728554642	0.1762632197414806	0.1709753231492362	0.4380141010575793	0.07403055229142186
int-Frank	0.500908100254268	0.0955321467490011	0.18706865237922266	0.17399200871776244	0.41554667635306936	0.06320377769705776
int-Haniffa	0.6099290780141844	0.12411347517730496	0.2624113475177305	0.2641843971631206	0.5186170212765957	0.09042553191489362
int-Ingersoll	0.5051357300073368	0.09684519442406456	0.18525311812179016	0.17534849596478358	0.4181951577402788	0.06639765223771094
int-Wong	0.5580082135523614	0.11190965092402463	0.20739219712525667	0.1991786447638604	0.465605749486653	0.08059548254620122
