Gene ID,Gene Name,Score(d),Fold Change,q-value(%)
g502,ENSG00000155366.12,144.5,16.275,0
g503,ENSG00000271810.1,144.5,27.024,0
g690,ENSG00000203747.5,144.5,145.329,0
g1571,ENSG00000018280.12,144.5,4.144,0
g1637,ENSG00000233392.1,144.5,60045820805.215,0
g1671,ENSG00000250151.5,144.5,4.417,0
g1877,ENSG00000163931.11,144.5,5.547,0
g2938,ENSG00000182578.9,144.5,11.701,0
g3016,ENSG00000160883.6,144.5,71.223,0
g3030,ENSG00000184840.7,144.5,18.372,0
g3156,ENSG00000204592.5,144.5,10.43,0
g3759,ENSG00000130429.8,144.5,7.989,0
g3760,ENSG00000106244.8,144.5,5.687,0
g3823,ENSG00000105851.6,144.5,8.652,0
g4021,ENSG00000133872.9,144.5,2.732,0
g4022,ENSG00000272256.1,144.5,13.331,0
g4249,ENSG00000160932.6,144.5,6.26,0
g4519,ENSG00000095370.15,144.5,32.967,0
g4741,ENSG00000107738.15,144.5,19.262,0
g4973,ENSG00000023191.12,144.5,24.235,0
g5935,ENSG00000110876.8,144.5,20.908,0
g7821,ENSG00000007312.8,144.5,56.4,0
g7915,ENSG00000108639.3,144.5,17.907,0
g8124,ENSG00000172270.14,144.5,9.039,0
g8208,ENSG00000076944.10,144.5,9.151,0
g8221,ENSG00000142347.12,144.5,5.801,0
g8251,ENSG00000129353.10,144.5,21.922,0
g8376,ENSG00000175489.9,144.5,15.196,0
g8505,ENSG00000160410.10,144.5,6.422,0
g8520,ENSG00000028277.16,144.5,5.337,0
g8543,ENSG00000213889.6,144.5,15.876,0
g8618,ENSG00000142512.10,144.5,43.005,0
g8619,ENSG00000254760.1,144.5,25228949513.165,0
g8620,ENSG00000255441.1,144.5,351.983,0
g8661,ENSG00000131042.9,144.5,15.45,0
g8667,ENSG00000104972.10,144.5,22.278,0
g8668,ENSG00000104974.6,144.5,49.071,0
g8789,ENSG00000197183.8,144.5,11.715,0
g9048,ENSG00000160255.12,144.5,12.646,0
g9404,ENSG00000102316.12,144.5,9.065,0
g4227,ENSG00000170873.14,144.45,3.261,0
g4839,ENSG00000107521.14,144.45,4.64,0
g8319,ENSG00000132002.3,144.45,7.495,0
g158,ENSG00000204160.7,144.2,27.432,0
g8198,ENSG00000174837.10,144.1,6.82,0
g1669,ENSG00000171148.9,143.75,35.656,0
g4428,ENSG00000095380.10,143.6,4.345,0
g5192,ENSG00000162191.9,143.6,7.459,0
g3545,ENSG00000075624.9,143.55,2.779,0
g1851,ENSG00000114738.6,143.5,6.175,0
g3655,ENSG00000136286.10,143.5,8.479,0
g4783,ENSG00000108219.10,143.45,9.622,0
g4910,ENSG00000148737.11,143.4,5.478,0
g7559,ENSG00000168961.12,143.35,3.763,0
g8315,ENSG00000123146.15,143.15,7.565,0
g8292,ENSG00000198356.7,143.1,2.564,0
g6045,ENSG00000256028.2,143.05,30.801,0
g7666,ENSG00000267261.1,143,12.056,0
g5285,ENSG00000172725.9,142.95,181.002,0
g6046,ENSG00000182196.9,142.95,34.249,0
g9410,ENSG00000001497.12,142.9,37.917,0
g3702,ENSG00000127948.9,142.65,81.958,0
g9493,ENSG00000122122.9,142.65,6.842,0
g7653,ENSG00000126368.5,142.4,45622614903.874,0
g5251,ENSG00000172803.13,142.3,1.98,0
g5598,ENSG00000151491.8,142.25,36.615,0
g5247,ENSG00000172977.8,142.2,6.198,0
g7913,ENSG00000141524.11,142.2,22.954,0
g4338,ENSG00000137076.14,141.9,2.657,0
g7935,ENSG00000184009.5,141.7,3.135,0
g5703,ENSG00000123358.15,141.65,6.225,0
g5318,ENSG00000186635.10,141.5,15.211,0
g2731,ENSG00000213763.4,141.4,3.641,0
g8242,ENSG00000105371.8,141.4,159.109,0
g879,ENSG00000188460.4,141.15,5.052,0
g8135,ENSG00000099622.9,140.9,6.643,0
g7138,ENSG00000013364.14,140.85,29.704,0
g8940,ENSG00000130702.9,140.85,8.756,0
g8783,ENSG00000101336.8,140.65,4.012,0
g4993,ENSG00000129757.8,140.6,32.492,0
g7257,ENSG00000167264.13,140.45,10.222,0
g5546,ENSG00000111684.6,140.35,15617371477.79,0
g6631,ENSG00000258732.1,140,9947756815.773,0
g2028,ENSG00000114626.13,139.7,19.937,0
g5109,ENSG00000121680.11,139.5,28.507,0
g9281,ENSG00000182858.9,139.45,12524859490.177,0
g476,ENSG00000228703.1,139.4,20.785,0
