Reference	Genes in Ref	Genes	Common	Recall	Precision
SAM-Frank	5796	4778	2086	0.36303515489035854	0.43658434491419
SAM-Haniffa	1586	4778	704	0.4583333333333333	0.1473419840937631
SAM-Ingersoll	4795	4778	1786	0.37639620653319283	0.3737965676015069
SAM-Wong	2929	4778	1014	0.3522056269538034	0.212222687316869
limma-Frank	3931	4778	1741	0.4485957227518681	0.36437840100460445
limma-Haniffa	1920	4778	931	0.4978609625668449	0.19485140226036
limma-Ingersoll	4202	4778	1851	0.4458092485549133	0.3874005860192549
limma-Wong	3454	4778	1491	0.4380141010575793	0.31205525324403516
int-Frank	2803	4778	1144	0.41554667635306936	0.239430724152365
int-Haniffa	1178	4778	585	0.5186170212765957	0.12243616575973211
int-Ingersoll	2776	4778	1140	0.4181951577402788	0.2385935537881959
int-Wong	1998	4778	907	0.46560574948665295	0.18982838007534533
