Gene ID,Gene Name,Score(d),Fold Change,q-value(%)
g410,ENSG00000155366.12,144.5,15.515,0
g411,ENSG00000271810.1,144.5,27.127,0
g486,ENSG00000143549.15,144.5,3.525,0
g573,ENSG00000203747.5,144.5,165.308,0
g1343,ENSG00000250151.5,144.5,4.854,0
g1519,ENSG00000163931.11,144.5,6.101,0
g1604,ENSG00000180353.6,144.5,3.608,0
g2330,ENSG00000182578.9,144.5,12.368,0
g2519,ENSG00000204592.5,144.5,10.781,0
g2811,ENSG00000075624.9,144.5,2.943,0
g2967,ENSG00000130429.8,144.5,8.815,0
g2968,ENSG00000106244.8,144.5,5.71,0
g3013,ENSG00000105851.6,144.5,9.063,0
g3156,ENSG00000133872.9,144.5,2.947,0
g3157,ENSG00000272256.1,144.5,13.297,0
g3353,ENSG00000160932.6,144.5,6.944,0
g3561,ENSG00000095370.15,144.5,37.7,0
g3731,ENSG00000107738.15,144.5,21.108,0
g3920,ENSG00000023191.12,144.5,24.683,0
g4703,ENSG00000110876.8,144.5,22.782,0
g6099,ENSG00000267261.1,144.5,12.893,0
g6236,ENSG00000007312.8,144.5,62.768,0
g6316,ENSG00000108639.3,144.5,17.878,0
g6483,ENSG00000172270.14,144.5,9.633,0
g6493,ENSG00000099622.9,144.5,6.951,0
g6541,ENSG00000076944.10,144.5,9.614,0
g6553,ENSG00000142347.12,144.5,6.095,0
g6579,ENSG00000129353.10,144.5,22.163,0
g6633,ENSG00000123146.15,144.5,8.365,0
g6634,ENSG00000267379.1,144.5,8.577,0
g6689,ENSG00000175489.9,144.5,15.744,0
g6872,ENSG00000142512.10,144.5,48.002,0
g6873,ENSG00000254760.1,144.5,20089036344.764,0
g6874,ENSG00000255441.1,144.5,26974424003.659,0
g6899,ENSG00000131042.9,144.5,17.679,0
g6998,ENSG00000197183.8,144.5,11.78,0
g7209,ENSG00000160255.12,144.5,13.202,0
g7497,ENSG00000102316.12,144.5,10.023,0
g1316,ENSG00000233392.1,144.45,8693073909.756,0
g2394,ENSG00000160883.6,144.45,81.478,0
g2408,ENSG00000184840.7,144.45,21.074,0
g6777,ENSG00000160410.10,144.45,6.904,0
g6813,ENSG00000213889.6,144.45,15.72,0
g1261,ENSG00000018280.12,144.4,4.369,0
g4104,ENSG00000162191.9,144.2,7.494,0
g6637,ENSG00000132002.3,144.2,8.45,0
g6791,ENSG00000028277.16,144.2,5.601,0
g6536,ENSG00000174837.10,144.15,6.726,0
g1341,ENSG00000171148.9,143.9,34.401,0
g3812,ENSG00000107521.14,143.9,5.041,0
g3869,ENSG00000148737.11,143.85,6.035,0
g3939,ENSG00000177105.9,143.7,3.92,0
g3333,ENSG00000170873.14,143.55,3.486,0
g6905,ENSG00000104974.6,143.55,1419340095.959,0
g1501,ENSG00000114738.6,143.5,6.662,0
g7570,ENSG00000122122.9,143.45,6.995,0
g4790,ENSG00000182196.9,143.3,32.095,0
g3765,ENSG00000108219.10,143.25,9.435,0
g6018,ENSG00000168961.12,143.15,3.966,0
g4515,ENSG00000123358.15,142.9,6.997,0
