Reference	Genes in Ref	Genes	Common	Recall	Precision
SAM-Frank	5796	4398	1802	0.3136094674556213	0.40973169622555705
SAM-Haniffa	1586	4398	643	0.4186197916666667	0.14620281946339245
SAM-Ingersoll	4795	4398	1536	0.32370916754478396	0.34924965893587995
SAM-Wong	2929	4398	897	0.3115665161514415	0.20395634379263303
limma-Frank	3931	4398	1501	0.3867559907240402	0.34129149613460663
limma-Haniffa	1920	4398	851	0.4550802139037433	0.19349704411095953
limma-Ingersoll	4202	4398	1590	0.3829479768786127	0.3615279672578445
limma-Wong	3454	4398	1322	0.3883666274970623	0.3005911778080946
int-Frank	2803	4398	998	0.362513621503814	0.22692132787630742
int-Haniffa	1178	4398	523	0.46365248226950356	0.11891768985902683
int-Ingersoll	2776	4398	993	0.36426999266324284	0.2257844474761255
int-Wong	1998	4398	803	0.412217659137577	0.1825829922692133
