Reference	Genes in Ref	Genes	Common	Recall	Precision
SAM-Frank	5796	6199	2534	0.4410024364775496	0.4087756089691886
SAM-Haniffa	1586	6199	822	0.53515625	0.13260203258590095
SAM-Ingersoll	4795	6199	2143	0.4516332982086407	0.3457009195031457
SAM-Wong	2929	6199	1210	0.4202848211184439	0.19519277302790772
limma-Frank	3931	6199	2070	0.5333676887400155	0.33392482658493305
limma-Haniffa	1920	6199	1105	0.5909090909090909	0.17825455718664301
limma-Ingersoll	4202	6199	2214	0.5332369942196532	0.35715437973866754
limma-Wong	3454	6199	1834	0.5387779083431258	0.29585417002742376
int-Frank	2803	6199	1379	0.500908100254268	0.22245523471527665
int-Haniffa	1178	6199	688	0.6099290780141844	0.11098564284562026
int-Ingersoll	2776	6199	1377	0.5051357300073368	0.2221326020325859
int-Wong	1998	6199	1087	0.5580082135523614	0.1753508630424262
