Gene_Id,ExonLength,logFC,logCPM,PValue,FDR
ENSG00000143546.5,1006,-8.13819193291673,11.969290388899,7.27441960160506e-57,6.99726421478391e-53
ENSG00000163221.7,516,-10.5093353938454,8.2620234516678,5.99371725168174e-51,2.88267831219633e-47
ENSG00000090382.2,1764,-5.30099332365572,14.7718975554464,2.2410833081376e-50,7.18566011365853e-47
ENSG00000257764.2,599,-5.30942789591593,14.4361374014651,9.30991280731923e-43,2.23880128234009e-39
ENSG00000241544.1,1497,-12.4512068567126,5.79757017059742,1.30750751567275e-41,2.51538295865124e-38
ENSG00000132965.5,1344,-9.57960863680549,7.69155768749857,3.52432741484962e-38,5.65008423390642e-35
ENSG00000107738.15,5128,4.22040877858683,10.4476890056926,6.74186109449492e-35,9.26428026684951e-32
ENSG00000169429.6,2274,-4.89361586417094,12.9465458494445,8.60016977458683e-35,1.03406291327188e-31
ENSG00000163220.10,577,-4.76119998872988,10.0490655941771,1.67181621588664e-33,1.78680002006817e-30
ENSG00000038427.11,14831,-6.20224202490907,10.0622859442236,2.2751678780491e-33,2.18848398189543e-30
ENSG00000124882.3,5717,-5.48198042570192,10.0710790967517,3.37951739814892e-33,2.95523435025404e-30
ENSG00000197632.4,2748,-11.8868586072243,10.6541974074325,1.1322697749211e-31,9.07608580413841e-29
ENSG00000169508.6,1700,-6.8982613410245,11.7574999592794,3.45271878464199e-31,2.5547463068824e-28
ENSG00000108691.5,1137,-12.4497698047549,8.77876860332439,8.26079607620674e-31,5.67575696121662e-28
ENSG00000242550.1,2700,-10.2647461748474,9.29057548771152,6.15994410675297e-30,3.95016682419046e-27
ENSG00000137801.9,10870,-10.0351445728284,14.174034962958,1.16389771016276e-26,6.99720754628475e-24
ENSG00000249835.2,877,-6.09918066253485,6.13778989374237,2.40986240121364e-25,1.36355684925141e-22
ENSG00000166523.3,2422,-9.3231073767439,7.36538788392591,7.13741312026554e-25,3.81415426687968e-22
ENSG00000175294.5,2687,-8.12311010063717,4.68804403771506,7.75654211261496e-25,3.92685150427597e-22
ENSG00000023191.12,5904,4.61521710865985,8.18694590690809,1.89564280615349e-24,9.09945068716189e-22
ENSG00000160255.12,6161,3.31119121531351,9.92103924616623,1.9865730785986e-24,9.09945068716189e-22
ENSG00000110077.10,5126,-5.58121042282407,9.1483032402618,2.00843951399056e-23,8.78144531139783e-21
ENSG00000171862.5,10048,-3.96178675454659,9.1101184147704,2.23033111028035e-23,9.32763258686378e-21
ENSG00000117525.9,2875,-8.50742352534224,7.39503494003985,3.35122923781522e-23,1.34314475160603e-20
ENSG00000026025.9,4965,-2.780478043119,10.3284595961277,4.43695631535078e-23,1.70716331189437e-20
ENSG00000173391.4,2933,-7.20034263266029,8.78866166530199,5.61300161536936e-23,2.07659471300915e-20
ENSG00000122862.4,1220,-2.90866201621758,12.8949294370596,7.54990049395153e-23,2.68972195745629e-20
ENSG00000175489.9,2415,3.70984775661292,8.77394967940988,1.13589972967317e-22,3.90222124990221e-20
ENSG00000273338.1,209,-5.94457333673467,5.23208206591877,1.69867827604264e-22,5.63434011629453e-20
ENSG00000243629.1,2018,-9.26642511739578,5.8576091411006,1.89509164316527e-22,6.07629550520226e-20
ENSG00000168264.6,3645,-3.87702390642652,9.13965820145977,6.0082034705001e-22,1.86428739299163e-19
ENSG00000139289.9,8069,-5.53930485026893,9.25117144376045,2.27801767329573e-21,6.84757874982237e-19
