Gene_Id,Chr,Start,End,ExonLength,P-Value,t,Corrected P-Value,log2TPMRatio
ENSG00000198744.5,chr1,569755,570301,547,0.01917248475522309,213.0,0.03302679419958408,0.5234079581482061
ENSG00000187608.5,chr1,948802,949919,711,6.418809587838739e-06,13.0,7.006319453643274e-05,-2.532244107661746
ENSG00000221978.7,chr1,1321090,1334707,6835,7.546596172309223e-06,14.0,7.401407958423359e-05,-3.903853253610853
ENSG00000008128.18,chr1,1634168,1655765,4707,1.039583522056031e-05,16.0,8.520544096851463e-05,-3.219568318503322
ENSG00000008130.11,chr1,1682670,1711895,5359,2.8040005922295927e-06,8.0,4.1105696714968325e-05,-5.391329244686651
ENSG00000078369.13,chr1,1716728,1822494,6351,0.006507707805133033,65.0,0.013001402458230895,-1.05700892392751
ENSG00000157916.14,chr1,2323266,2336882,5580,0.0005036704754827805,43.0,0.0014901322294417212,-2.10333387959817
ENSG00000198912.6,chr1,3805688,3816856,4388,6.917628724170302e-07,0.0,2.1962357372454963e-05,-3.014780982244529
ENSG00000069424.10,chr1,6051525,6161252,7983,0.0001513837113659928,34.0,0.0005756303582187218,-1.7585025776340772
ENSG00000268332.1,chr1,6100629,6101398,81,0.0002922106500196331,39.0,0.0009773381797273776,-1.4107993554731033
ENSG00000049245.8,chr1,7831328,7841491,2760,0.001935743045086168,54.0,0.0045815877480381295,-0.5602776187246057
ENSG00000074800.9,chr1,8921060,8939307,3958,0.0001513837113659928,34.0,0.0005756303582187218,-0.6263231047481002
ENSG00000171608.11,chr1,9711789,9789171,6593,7.040340059625957e-07,0.0,2.1962357372454963e-05,-3.407920262283518
ENSG00000162444.11,chr1,10057263,10076077,861,5.551045079736769e-05,262.0,0.00027568302628420684,3.6427480910185737
ENSG00000142657.16,chr1,10458648,10480200,3171,0.023009726863706215,78.0,0.03877301958617259,-0.9226787693748468
ENSG00000120948.11,chr1,11072413,11085795,4367,5.580219048951719e-05,27.0,0.00027568302628420684,-2.24618033465966
ENSG00000171824.9,chr1,11126674,11159937,6003,7.463460134985053e-05,29.0,0.0003358195108263401,-2.3785274300623174
ENSG00000177674.11,chr1,11796140,11814858,2397,0.002173250199988411,55.0,0.005071281528041367,-0.5875905398850767
ENSG00000177000.6,chr1,11845779,11866976,8344,6.418809587838739e-06,13.0,7.006319453643274e-05,-2.2912343315279458
ENSG00000011021.17,chr1,11866206,11903200,6884,1.6419141670163956e-05,19.0,0.00011419548039930917,-2.0512220785992574
ENSG00000083444.12,chr1,11994261,12035594,5320,0.004737371750160917,62.0,0.005289848699486393,-1.953338605265657
ENSG00000116688.12,chr1,12040237,12073570,4973,0.00011447044428680526,32.0,0.009855007869505154,-3.422590712651399
ENSG00000028137.12,chr1,12227059,12269284,3766,4.153330286677652e-05,25.0,0.0004617638183012953,-1.4722574106625541
ENSG00000116731.18,chr1,14026692,14151573,10299,0.6296571659649659,130.0,0.00021746387358800937,-0.16713052416778706
ENSG00000132906.13,chr1,15817326,15853028,5148,6.408382203146812e-06,13.0,2.1962357372454963e-05,-1.9200552178012633
ENSG00000237938.1,chr1,16049213,16063390,645,0.02744988692218585,80.0,7.006319453643274e-05,-1.1187760448926614
ENSG00000178715.7,chr1,16154723,16155166,444,0.005272007491824873,226.0,0.045249925175892,0.5758464129413481
ENSG00000065526.6,chr1,16174358,16266954,13294,0.8904189322440568,140.0,0.010797723070452797,0.14963662549520515
